Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,18.74,19.09,18.66,18.85,666600,18.85
2012-12-28,18.68,19.23,18.63,18.87,545700,18.87
2012-12-27,18.64,18.95,18.40,18.83,713200,18.83
2012-12-26,18.44,18.78,18.26,18.63,387900,18.63
2012-12-24,18.86,18.99,18.32,18.44,541100,18.44
2012-12-21,18.66,19.05,18.32,19.00,1056800,19.00
2012-12-20,18.46,19.09,18.27,18.91,1101000,18.91
2012-12-19,18.17,18.59,18.00,18.45,1455300,18.45
2012-12-18,19.21,19.21,17.90,18.06,1543000,18.06
2012-12-17,19.31,19.72,18.60,18.93,1027100,18.93
2012-12-14,19.66,19.96,19.27,19.46,467100,19.46
2012-12-13,19.19,19.83,18.80,19.66,868000,19.66
2012-12-12,19.68,20.20,19.01,19.62,1603000,19.62
2012-12-11,18.87,19.59,18.83,19.30,1140800,19.30
2012-12-10,19.22,19.25,18.30,18.82,530700,18.82
2012-12-07,18.27,19.25,18.15,19.05,1282800,19.05
2012-12-06,18.47,18.99,17.48,18.09,1579500,18.09
2012-12-05,19.03,19.44,18.70,18.84,597100,18.84
2012-12-04,19.13,19.50,18.75,19.05,678300,19.05
2012-12-03,18.90,19.93,18.86,19.27,937200,19.27
